Date;ProductKey;RegionKey;Amount
2025-12-01;4;2;555163,22
2025-12-01;4;3;396545,16
2025-12-01;4;4;237927,10
2025-01-01;5;1;325172,01
2025-01-01;5;2;227620,41
2025-01-01;5;3;162586,00
2025-01-01;5;4;97551,60
2025-02-01;5;1;345287,80
2025-02-01;5;2;241701,46
2025-02-01;5;3;172643,90
2025-02-01;5;4;103586,34
2025-03-01;5;1;374355,22
2025-03-01;5;2;262048,65
2025-03-01;5;3;187177,61
2025-03-01;5;4;112306,57
2025-04-01;5;1;360842,46
2025-04-01;5;2;252589,72
2025-04-01;5;3;180421,23
2025-04-01;5;4;108252,74
2025-05-01;5;1;361136,94
2025-05-01;5;2;252795,86
2025-05-01;5;3;180568,47
2025-05-01;5;4;108341,08
2025-06-01;5;1;338827,83
2025-06-01;5;2;237179,48
2025-06-01;5;3;169413,91
2025-06-01;5;4;101648,35
2025-07-01;5;1;315628,23
2025-07-01;5;2;220939,76
2025-07-01;5;3;157814,11
2025-07-01;5;4;94688,47
2025-08-01;5;1;317617,10
2025-08-01;5;2;222331,97
2025-08-01;5;3;158808,55
2025-08-01;5;4;95285,13
2025-09-01;5;1;385379,69
2025-09-01;5;2;269765,78
2025-09-01;5;3;192689,85
2025-09-01;5;4;115613,91
2025-10-01;5;1;399728,14
2025-10-01;5;2;279809,70
2025-10-01;5;3;199864,07
2025-10-01;5;4;119918,44
2025-11-01;5;1;395759,92
2025-11-01;5;2;277031,95
2025-11-01;5;3;197879,96
2025-11-01;5;4;118727,98
2025-12-01;5;1;398078,66
2025-12-01;5;2;278655,06
2025-12-01;5;3;199039,33
2025-12-01;5;4;119423,60
